Department_number-Ministère_numéro,Department-name_English-Ministère_nom_anglais,Department_name_French-Ministère_nom_français
001,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
002,Office of the Auditor General,Bureau du vérificateur général
004,Public Service Commission,Commission de la fonction publique
005,"Department of Foreign Affairs, Trade and Development","Ministère des Affaires étrangères, du Commerce et du Développement"
006,Department of Finance Canada,Ministère des Finances
007,Environment and Climate Change Canada,Environnement et Changement climatique Canada
008,Office of the Governor General's Secretary,Bureau du secrétaire du gouverneur général
009,Senate,Sénat
011,Office of the Superintendent of Financial Institutions,Bureau du surintendant des institutions financières
012,Economic Development Agency of Canada for the Regions of Quebec,Agence de développement économique du Canada pour les régions du Québec
013,Department of Justice Canada,Ministère de la Justice Canada
014,Employment and Social Development Canada,Emploi et Développement social Canada
015,Office of the Chief Electoral Officer,Bureau du directeur général des élections
016,Canadian Radio-television and Telecommunications Commission,Conseil de la radiodiffusion et des télécommunications canadiennes
017,Library of Parliament,Bibliothèque du Parlement
018,Department of National Defence,Ministère de la Défense nationale
019,Office of the Director of Public Prosecutions,Bureau du directeur des poursuites pénales
021,Veterans Affairs Canada,Anciens Combattants Canada
022,Health Canada,Santé Canada
023,Atlantic Canada Opportunities Agency,Agence de promotion économique du Canada atlantique
024,International Joint Commission (Canadian Section),Commission mixte internationale (section canadienne)
025,Privy Council Office,Bureau du Conseil privé
027,Natural Sciences and Engineering Research Council,Conseil de recherches en sciences naturelles et en génie
030,Royal Canadian Mounted Police,Gendarmerie royale du Canada
032,Immigration and Refugee Board,Commission de l'immigration et du statut de réfugié
033,Department of Industry ,Ministère de l'Industrie 
034,Transport Canada,Transports Canada
035,National Research Council of Canada,Conseil national de recherches du Canada
037,Telefilm Canada,Téléfilm Canada
038,Canada Border Services Agency - (Administered Activities),Agence des services frontaliers du Canada - (activités administrées)
039,National Film Board,Office national du film
040,Canadian Transportation Agency,Office des transports du Canada
041,Natural Resources Canada,Ressources naturelles Canada
042,Department of Crown-Indigenous Relations and Northern Affairs,Ministère des Relations Couronne-Autochtones et des Affaires du Nord
043,Canadian Intergovernmental Conference Secretariat,Secrétariat des conférences intergouvernementales canadiennes
044,Western Economic Diversification Canada,Diversification de l'économie de l'Ouest Canada
046,Office of the Public Sector Integrity Commissioner,Commissariat à l'intégrité du secteur public
047,Canadian Nuclear Safety Commission,Commission canadienne de sûreté nucléaire
050,Citizenship and Immigration,Citoyenneté et de l'Immigration
051,Office of the Commissioner for Federal Judicial Affairs,Bureau du commissaire à la magistrature fédérale
052,Canada School of Public Service,ÿcole de la fonction publique du Canada
053,Correctional Service of Canada,Service correctionnel du Canada
054,Statistics Canada,Statistique Canada
